"YearStart","LocationAbbr","Class","Data_Value","Data_Value_Alt","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Age(years)","Education","Gender","Income","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1","Number_people"
2011,"AL","Obesity / Weight Status",32.3,32.3,29.9,34.7,2581,NA,NA,"Male",NA,NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Gender","Male","GEN","MALE",834
2011,"AL","Obesity / Weight Status",38.5,38.5,34.4,42.8,1112,NA,NA,NA,"Less than $15,000",NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Income","Less than $15,000","INC","INCLESS15",429
2011,"AL","Obesity / Weight Status",35.8,35.8,31.1,40.8,757,NA,NA,NA,"$25,000 - $34,999",NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Income","$25,000 - $34,999","INC","INC2535",272
2011,"AL","Obesity / Weight Status",34.8,34.8,31.3,38.5,1367,NA,NA,NA,"$15,000 - $24,999",NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Income","$15,000 - $24,999","INC","INC1525",476
2011,"AL","Obesity / Weight Status",23.8,23.8,20.7,27.3,1297,NA,NA,NA,"Data not reported",NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Income","Data not reported","INC","INCNR",309
2011,"AL","Obesity / Weight Status",28.8,28.8,25.4,32.5,1125,NA,NA,NA,"$75,000 or greater",NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Income","$75,000 or greater","INC","INC75PLUS",324
2011,"AL","Obesity / Weight Status",34.1,34.1,29.7,38.8,785,NA,NA,NA,"$50,000 - $74,999",NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Income","$50,000 - $74,999","INC","INC5075",268
2011,"AL","Obesity / Weight Status",32.3,32.3,28,36.8,861,NA,NA,NA,"$35,000 - $49,999",NA,"(32.840571122, -86.631860762)","OWS","OWS1","Q036","Income","$35,000 - $49,999","INC","INC3550",279
2011,"AL","Obesity / Weight Status",29.8,29.8,28,31.6,5042,NA,NA,NA,NA,"Non-Hispanic White","(32.840571122, -86.631860762)","OWS","OWS1","Q036","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",1503
2011,"AL","Obesity / Weight Status",32.9,32.9,18.4,51.7,61,NA,NA,NA,NA,"American Indian/Alaska Native","(32.840571122, -86.631860762)","OWS","OWS1","Q036","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",21
2011,"AL","Obesity / Weight Status",27.8,27.8,14.4,46.9,58,NA,NA,NA,NA,"2 or more races","(32.840571122, -86.631860762)","OWS","OWS1","Q036","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",17
2011,"AL","Obesity / Weight Status",28.6,28.6,17.5,43.1,115,NA,NA,NA,NA,"Hispanic","(32.840571122, -86.631860762)","OWS","OWS1","Q036","Race/Ethnicity","Hispanic","RACE","RACEHIS",33
2011,"AL","Obesity / Weight Status",40.1,40.1,36.9,43.3,1878,NA,NA,NA,NA,"Non-Hispanic Black","(32.840571122, -86.631860762)","OWS","OWS1","Q036","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",754
2011,"AR","Obesity / Weight Status",26.1,26.1,23.6,28.8,1842,"65 or older",NA,NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Age (years)","65 or older","AGEYR","AGEYR65PLUS",481
2011,"AR","Obesity / Weight Status",32.9,32.9,27.5,38.9,430,"35 - 44",NA,NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Age (years)","35 - 44","AGEYR","AGEYR3544",142
2011,"AR","Obesity / Weight Status",23,23,16.1,31.9,136,"18 - 24",NA,NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Age (years)","18 - 24","AGEYR","AGEYR1824",32
2011,"AR","Obesity / Weight Status",36.4,36.4,32,41,742,"45 - 54",NA,NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Age (years)","45 - 54","AGEYR","AGEYR4554",271
2011,"AR","Obesity / Weight Status",36.9,36.9,33.2,40.7,1082,"55 - 64",NA,NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Age (years)","55 - 64","AGEYR","AGEYR5564",400
2011,"AR","Obesity / Weight Status",29.3,29.3,23.2,36.3,295,"25 - 34",NA,NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Age (years)","25 - 34","AGEYR","AGEYR2534",87
2011,"AR","Obesity / Weight Status",31.1,31.1,26,36.8,628,NA,"Less than high school",NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Education","Less than high school","EDU","EDUHS",196
2011,"AR","Obesity / Weight Status",31,31,27,35.3,1070,NA,"Some college or technical school",NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Education","Some college or technical school","EDU","EDUCOTEC",332
2011,"AR","Obesity / Weight Status",26.4,26.4,22.9,30.2,1175,NA,"College graduate",NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Education","College graduate","EDU","EDUCOGRAD",311
2011,"AR","Obesity / Weight Status",33,33,29.5,36.8,1645,NA,"High school graduate",NA,NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Education","High school graduate","EDU","EDUHSGRAD",543
2011,"AR","Obesity / Weight Status",30.7,30.7,27.5,34.1,1681,NA,NA,"Male",NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Gender","Male","GEN","MALE",517
2011,"AR","Obesity / Weight Status",31.2,31.2,28.5,33.9,2846,NA,NA,"Female",NA,NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Gender","Female","GEN","FEMALE",888
2011,"AR","Obesity / Weight Status",30.4,30.4,25.7,35.6,860,NA,NA,NA,"$15,000 - $24,999",NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Income","$15,000 - $24,999","INC","INC1525",262
2011,"AR","Obesity / Weight Status",33.8,33.8,28.3,39.7,701,NA,NA,NA,"Less than $15,000",NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Income","Less than $15,000","INC","INCLESS15",237
2011,"AR","Obesity / Weight Status",37.2,37.2,30.8,44.1,524,NA,NA,NA,"$25,000 - $34,999",NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Income","$25,000 - $34,999","INC","INC2535",195
2011,"AR","Obesity / Weight Status",27.8,27.8,23.3,32.7,718,NA,NA,NA,"$75,000 or greater",NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Income","$75,000 or greater","INC","INC75PLUS",200
2011,"AR","Obesity / Weight Status",31.7,31.7,26.1,37.9,564,NA,NA,NA,"$35,000 - $49,999",NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Income","$35,000 - $49,999","INC","INC3550",179
2011,"AR","Obesity / Weight Status",24.9,24.9,19.9,30.7,632,NA,NA,NA,"Data not reported",NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Income","Data not reported","INC","INCNR",158
2011,"AR","Obesity / Weight Status",30.6,30.6,25.2,36.7,528,NA,NA,NA,"$50,000 - $74,999",NA,"(34.748650124, -92.274490743)","OWS","OWS1","Q036","Income","$50,000 - $74,999","INC","INC5075",162
2011,"AR","Obesity / Weight Status",26.4,26.4,14.2,43.8,80,NA,NA,NA,NA,"2 or more races","(34.748650124, -92.274490743)","OWS","OWS1","Q036","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",22
2011,"AR","Obesity / Weight Status",31,31,28.7,33.4,3563,NA,NA,NA,NA,"Non-Hispanic White","(34.748650124, -92.274490743)","OWS","OWS1","Q036","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",1105
2011,"AR","Obesity / Weight Status",38.1,38.1,31.4,45.3,592,NA,NA,NA,NA,"Non-Hispanic Black","(34.748650124, -92.274490743)","OWS","OWS1","Q036","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",226
2011,"AR","Obesity / Weight Status",19.3,19.3,10.3,33.3,58,NA,NA,NA,NA,"American Indian/Alaska Native","(34.748650124, -92.274490743)","OWS","OWS1","Q036","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",12
2011,"AR","Obesity / Weight Status",18.4,18.4,11.3,28.7,126,NA,NA,NA,NA,"Hispanic","(34.748650124, -92.274490743)","OWS","OWS1","Q036","Race/Ethnicity","Hispanic","RACE","RACEHIS",24
2011,"AZ","Obesity / Weight Status",18.7,18.7,12.7,26.7,240,"18 - 24",NA,NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Age (years)","18 - 24","AGEYR","AGEYR1824",45
2011,"AZ","Obesity / Weight Status",29.6,29.6,25,34.6,963,"45 - 54",NA,NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Age (years)","45 - 54","AGEYR","AGEYR4554",286
2011,"AZ","Obesity / Weight Status",25.4,25.4,20.7,30.9,655,"35 - 44",NA,NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Age (years)","35 - 44","AGEYR","AGEYR3544",167
2011,"AZ","Obesity / Weight Status",22.6,22.6,19.9,25.7,2475,"65 or older",NA,NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Age (years)","65 or older","AGEYR","AGEYR65PLUS",560
2011,"AZ","Obesity / Weight Status",23.6,23.6,17.6,30.8,471,"25 - 34",NA,NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Age (years)","25 - 34","AGEYR","AGEYR2534",112
2011,"AZ","Obesity / Weight Status",29.9,29.9,25.3,34.9,1346,"55 - 64",NA,NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Age (years)","55 - 64","AGEYR","AGEYR5564",403
2011,"AZ","Obesity / Weight Status",17.4,17.4,15,20.1,2050,NA,"College graduate",NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Education","College graduate","EDU","EDUCOGRAD",357
2011,"AZ","Obesity / Weight Status",36.2,36.2,27.9,45.4,536,NA,"Less than high school",NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Education","Less than high school","EDU","EDUHS",195
2011,"AZ","Obesity / Weight Status",25.2,25.2,21.5,29.3,1655,NA,"High school graduate",NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Education","High school graduate","EDU","EDUHSGRAD",418
2011,"AZ","Obesity / Weight Status",25.9,25.9,22.6,29.4,1898,NA,"Some college or technical school",NA,NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Education","Some college or technical school","EDU","EDUCOTEC",492
2011,"AZ","Obesity / Weight Status",25.8,25.8,22.9,29,3676,NA,NA,"Female",NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Gender","Female","GEN","FEMALE",949
2011,"AZ","Obesity / Weight Status",24.4,24.4,21.5,27.6,2474,NA,NA,"Male",NA,NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Gender","Male","GEN","MALE",604
2011,"AZ","Obesity / Weight Status",19.7,19.7,16.4,23.5,1179,NA,NA,NA,"$75,000 or greater",NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Income","$75,000 or greater","INC","INC75PLUS",233
2011,"AZ","Obesity / Weight Status",26.5,26.5,19.9,34.3,654,NA,NA,NA,"$25,000 - $34,999",NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Income","$25,000 - $34,999","INC","INC2535",174
2011,"AZ","Obesity / Weight Status",34.1,34.1,26.1,43.1,760,NA,NA,NA,"Less than $15,000",NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Income","Less than $15,000","INC","INCLESS15",260
2011,"AZ","Obesity / Weight Status",20.7,20.7,16.4,25.8,834,NA,NA,NA,"$35,000 - $49,999",NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Income","$35,000 - $49,999","INC","INC3550",173
2011,"AZ","Obesity / Weight Status",19.6,19.6,15.4,24.7,836,NA,NA,NA,"Data not reported",NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Income","Data not reported","INC","INCNR",164
2011,"AZ","Obesity / Weight Status",25.1,25.1,20.2,30.7,830,NA,NA,NA,"$50,000 - $74,999",NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Income","$50,000 - $74,999","INC","INC5075",209
2011,"AZ","Obesity / Weight Status",32.3,32.3,26.7,38.4,1057,NA,NA,NA,"$15,000 - $24,999",NA,"(34.86597028, -111.763811277)","OWS","OWS1","Q036","Income","$15,000 - $24,999","INC","INC1525",342
2011,"AZ","Obesity / Weight Status",13,13,5.3,28.6,64,NA,NA,NA,NA,"Asian","(34.86597028, -111.763811277)","OWS","OWS1","Q036","Race/Ethnicity","Asian","RACE","RACEASN",9
2011,"AZ","Obesity / Weight Status",21.2,21.2,19,23.6,4499,NA,NA,NA,NA,"Non-Hispanic White","(34.86597028, -111.763811277)","OWS","OWS1","Q036","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",954
2011,"AZ","Obesity / Weight Status",26.8,26.8,16.6,40.3,103,NA,NA,NA,NA,"Non-Hispanic Black","(34.86597028, -111.763811277)","OWS","OWS1","Q036","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",28
2011,"AZ","Obesity / Weight Status",34.2,34.2,25.1,44.7,270,NA,NA,NA,NA,"American Indian/Alaska Native","(34.86597028, -111.763811277)","OWS","OWS1","Q036","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",93
2011,"AZ","Obesity / Weight Status",33.8,33.8,28.3,39.7,996,NA,NA,NA,NA,"Hispanic","(34.86597028, -111.763811277)","OWS","OWS1","Q036","Race/Ethnicity","Hispanic","RACE","RACEHIS",337
2011,"AZ","Obesity / Weight Status",20.8,20.8,10.4,37.3,82,NA,NA,NA,NA,"2 or more races","(34.86597028, -111.763811277)","OWS","OWS1","Q036","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",18
2011,"CA","Obesity / Weight Status",27.6,27.6,25.6,29.8,3520,"55 - 64",NA,NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Age (years)","55 - 64","AGEYR","AGEYR5564",972
2011,"CA","Obesity / Weight Status",27.6,27.6,25.7,29.7,2969,"45 - 54",NA,NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Age (years)","45 - 54","AGEYR","AGEYR4554",820
2011,"CA","Obesity / Weight Status",25.9,25.9,23.7,28.2,2578,"35 - 44",NA,NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Age (years)","35 - 44","AGEYR","AGEYR3544",668
2011,"CA","Obesity / Weight Status",23.7,23.7,21.4,26.2,1826,"25 - 34",NA,NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Age (years)","25 - 34","AGEYR","AGEYR2534",433
2011,"CA","Obesity / Weight Status",21.2,21.2,19.7,22.7,5293,"65 or older",NA,NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Age (years)","65 or older","AGEYR","AGEYR65PLUS",1123
2011,"CA","Obesity / Weight Status",14.5,14.5,12,17.4,902,"18 - 24",NA,NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Age (years)","18 - 24","AGEYR","AGEYR1824",131
2011,"CA","Obesity / Weight Status",32.9,32.9,30.3,35.7,1870,NA,"Less than high school",NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Education","Less than high school","EDU","EDUHS",616
2011,"CA","Obesity / Weight Status",15.3,15.3,14.2,16.6,6681,NA,"College graduate",NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Education","College graduate","EDU","EDUCOGRAD",1023
2011,"CA","Obesity / Weight Status",24,24,22.5,25.5,5375,NA,"Some college or technical school",NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Education","Some college or technical school","EDU","EDUCOTEC",1290
2011,"CA","Obesity / Weight Status",26.4,26.4,24.4,28.6,3146,NA,"High school graduate",NA,NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Education","High school graduate","EDU","EDUHSGRAD",831
2011,"CA","Obesity / Weight Status",23.1,23.1,21.8,24.5,7159,NA,NA,"Male",NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Gender","Male","GEN","MALE",1654
2011,"CA","Obesity / Weight Status",24.5,24.5,23.3,25.7,9929,NA,NA,"Female",NA,NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Gender","Female","GEN","FEMALE",2433
2011,"CA","Obesity / Weight Status",17.5,17.5,14.4,21.2,1090,NA,NA,NA,"Data not reported",NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Income","Data not reported","INC","INCNR",191
2011,"CA","Obesity / Weight Status",24.3,24.3,21.9,26.9,2263,NA,NA,NA,"$50,000 - $74,999",NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Income","$50,000 - $74,999","INC","INC5075",550
2011,"CA","Obesity / Weight Status",22.1,22.1,19.7,24.7,1915,NA,NA,NA,"$35,000 - $49,999",NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Income","$35,000 - $49,999","INC","INC3550",424
2011,"CA","Obesity / Weight Status",29.9,29.9,27.5,32.4,2589,NA,NA,NA,"Less than $15,000",NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Income","Less than $15,000","INC","INCLESS15",775
2011,"CA","Obesity / Weight Status",27.2,27.2,24.2,30.4,1622,NA,NA,NA,"$25,000 - $34,999",NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Income","$25,000 - $34,999","INC","INC2535",442
2011,"CA","Obesity / Weight Status",30.1,30.1,27.4,32.9,2203,NA,NA,NA,"$15,000 - $24,999",NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Income","$15,000 - $24,999","INC","INC1525",664
2011,"CA","Obesity / Weight Status",17.7,17.7,16.4,19.1,5406,NA,NA,NA,"$75,000 or greater",NA,"(37.638640123, -120.999999538)","OWS","OWS1","Q036","Income","$75,000 or greater","INC","INC75PLUS",957
2011,"CA","Obesity / Weight Status",22,22,21,23.1,10988,NA,NA,NA,NA,"Non-Hispanic White","(37.638640123, -120.999999538)","OWS","OWS1","Q036","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",2418
2011,"CA","Obesity / Weight Status",30.3,30.3,28.4,32.2,3923,NA,NA,NA,NA,"Hispanic","(37.638640123, -120.999999538)","OWS","OWS1","Q036","Race/Ethnicity","Hispanic","RACE","RACEHIS",1189
2011,"CA","Obesity / Weight Status",33.1,33.1,28.5,38.1,652,NA,NA,NA,NA,"Non-Hispanic Black","(37.638640123, -120.999999538)","OWS","OWS1","Q036","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",216
2011,"CA","Obesity / Weight Status",8.1,8.1,6.3,10.4,889,NA,NA,NA,NA,"Asian","(37.638640123, -120.999999538)","OWS","OWS1","Q036","Race/Ethnicity","Asian","RACE","RACEASN",73
2011,"CA","Obesity / Weight Status",23.2,23.2,14.8,34.6,85,NA,NA,NA,NA,"Hawaiian/Pacific Islander","(37.638640123, -120.999999538)","OWS","OWS1","Q036","Race/Ethnicity","Hawaiian/Pacific Islander","RACE","RACEHPI",20
2011,"CA","Obesity / Weight Status",26.9,26.9,21.5,33.2,315,NA,NA,NA,NA,"2 or more races","(37.638640123, -120.999999538)","OWS","OWS1","Q036","Race/Ethnicity","2 or more races","RACE","RACE2PLUS",85
